n	time
1000	 44.4783
100	 0.1928
10	 0.0001
1250	 71.4731
126	 0.3129
12	 0.0008
1500	 112.9831
150	 0.4743
1750	 162.0109
176	 0.6926
2000	 207.7271
200	 1.0980
20	 0.0021
224	 1.3692
250	 2.0609
276	 2.1796
300	 2.6146
324	 3.0257
350	 3.8305
376	 5.4393
400	 5.5769
40	 0.0155
450	 7.1696
500	 8.9439
550	 10.9293
600	 13.3375
60	 0.0545
624	 14.3274
650	 15.5165
676	 17.1616
6	 0.0001
700	 18.8175
726	 21.0203
750	 23.3438
776	 25.8405
800	 28.2486
80	 0.0970
824	 29.2212
850	 32.3660
876	 33.3354
8	 0.0001
900	 36.2862
924	 37.8314
950	 39.5918
976	 42.0610
