n	time
1000	 118.6310
100	 0.4954
10	 0.0003
126	 0.8221
12	 0.0017
150	 1.2378
176	 1.8032
200	 2.8301
20	 0.0084
224	 3.4849
250	 4.5115
276	 5.8964
300	 7.0971
324	 8.6079
350	 10.6707
376	 13.6214
400	 15.1339
40	 0.0471
450	 20.9183
500	 26.1311
550	 32.0485
600	 39.7454
60	 0.1271
624	 42.9517
650	 46.8922
676	 48.1071
6	 0.0001
700	 57.2874
726	 63.7581
750	 70.3019
776	 77.6645
800	 83.2366
80	 0.2580
824	 87.8966
850	 87.6683
876	 99.0047
8	 0.0001
900	 102.8947
924	 108.5239
950	 111.1530
976	 116.8125
