n	time
1000	 45.0548
100	 0.1963
10	 0.0001
126	 0.3236
12	 0.0008
150	 0.4727
176	 0.6849
200	 1.0658
20	 0.0020
224	 1.3539
250	 1.6937
276	 2.1236
300	 2.6688
324	 3.1761
350	 3.8120
376	 4.8388
400	 5.7856
40	 0.0155
450	 7.2911
500	 9.1454
550	 11.1283
600	 13.5755
60	 0.0515
624	 14.6575
650	 15.8823
676	 17.5757
6	 0.0000
700	 19.2737
726	 21.5949
750	 24.0779
776	 26.4895
800	 28.1608
80	 0.1036
824	 29.8952
850	 32.5998
876	 34.1696
8	 0.0001
900	 36.3268
924	 38.5758
950	 40.4480
976	 43.4097
